Key,Argument,Value
Params-256:Old dataset-False:Learning rate-1e-05:Train-False:,1200.0,0.9827992504536478
Params-256:Old dataset-False:Learning rate-1e-05:Train-False:,300.0,0.9663535469393196
Params-256:Old dataset-False:Learning rate-1e-05:Train-False:,600.0,0.9745065090835696
Params-256:Old dataset-False:Learning rate-1e-05:Train-False:,900.0,0.9812028607954932
Params-512:Old dataset-False:Learning rate-1e-05:Train-False:,1200.0,0.9835725835927958
Params-512:Old dataset-False:Learning rate-1e-05:Train-False:,300.0,0.970477524228352
Params-512:Old dataset-False:Learning rate-1e-05:Train-False:,600.0,0.9794352740570637
Params-512:Old dataset-False:Learning rate-1e-05:Train-False:,900.0,0.9848210525328662
Params-256:Old dataset-False:Learning rate-1e-05:Train-True:,1200.0,0.9784144583290068
Params-256:Old dataset-False:Learning rate-1e-05:Train-True:,300.0,0.9664658017670776
Params-256:Old dataset-False:Learning rate-1e-05:Train-True:,600.0,0.9728605812761304
Params-256:Old dataset-False:Learning rate-1e-05:Train-True:,900.0,0.976531889353213
Params-512:Old dataset-False:Learning rate-1e-05:Train-True:,1200.0,0.979337788648542
Params-512:Old dataset-False:Learning rate-1e-05:Train-True:,300.0,0.9698622617545276
Params-512:Old dataset-False:Learning rate-1e-05:Train-True:,600.0,0.9754381790352809
Params-512:Old dataset-False:Learning rate-1e-05:Train-True:,900.0,0.9780960695242268
