NaiveBC,RNN-BC,GAN-BC,Test,Train,Params,D-Params,Epochs,Old dataset,New dataset,Time signal,State history,Prepend,Learning rate,Pearson,Euclidean g,Manhattan g,Cosine,Euclidean m,Manhattan m,Pos error,Rot error,Release error,Rel. pos. err,Rel. vel. err,Missed by,Filename
False,False,True,True,False,128,128,0,True,False,True,3,False,1e-05,0.5412742403745782,0.006271249859971718,0.4377245671370695,0.634420542021476,1.5281638523550858,3.501796537096556,1.1158199887124094,0.7460817144301063,0.7333333333333334,,,,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-0-testval
False,False,True,False,True,128,128,0,True,False,True,3,False,1e-05,0.674823084251228,0.001770204554874273,0.3579598441896467,0.7478068167760172,1.2424887875416906,2.863678753517174,0.8521670494840093,0.6297290873616749,0.6339975093399751,,,,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-0-trainval
False,False,True,True,False,128,128,102,True,False,True,3,False,1e-05,0.7761434100011979,0.003344918212441398,0.1954715615096237,0.8146614433879552,0.6790057030533189,1.5637724920769895,0.4264454664683357,0.5716061400660581,0.3904761904761904,0.16966838148680044,9.339199931901803,8.984955251358672,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-102-testval
False,False,True,False,True,128,128,102,True,False,True,3,False,1e-05,0.9043461492783719,0.0007991353534762637,0.1291014582577012,0.9234599322574955,0.4675866748711416,1.0328116660616093,0.21740327607604998,0.504112432699225,0.2465753424657534,0.13260273212815205,9.952899859851426,17.704088245484698,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-102-trainval
False,False,True,True,False,128,128,119,True,False,True,3,False,1e-05,0.6699573326365704,0.004717693573212417,0.2677501604651925,0.7299703561428238,0.9236246930989589,2.14200128372154,0.5518319975930273,0.6738664814964829,0.32285714285714284,0.18037451725652168,3.487109277780506,0.923954979607638,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-119-testval
False,False,True,False,True,128,128,119,True,False,True,3,False,1e-05,0.8766640888023657,0.0009382196842388734,0.15584703354191232,0.9015764800678525,0.5745509934998269,1.2467762683352985,0.2925886361456562,0.5496881752144185,0.136986301369863,0.1809223551425398,3.809547251711609,4.9090224391418085,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-119-trainval
False,False,True,True,False,128,128,136,True,False,True,3,False,1e-05,0.7585608733648685,0.003403262734177727,0.18839887483199944,0.800359990384565,0.674077069771905,1.5071909986559955,0.42382583470718793,0.6593418660130632,0.25142857142857145,0.18241622780676084,7.621898425918567,2.539126708537139,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-136-testval
False,False,True,False,True,128,128,136,True,False,True,3,False,1e-05,0.9082665403995763,0.0007738993483092419,0.12280153200652445,0.9253754660546258,0.45120932359503924,0.9824122560521956,0.20458161876525455,0.48212007006372576,0.19875466998754665,0.1573655773900264,6.919248686539873,2.320830779743099,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-136-trainval
False,False,True,True,False,128,128,153,True,False,True,3,False,1e-05,0.7135152274052834,0.004097390155346966,0.24255950747338742,0.7592293866845876,0.842180052549361,1.9404760597870994,0.46083369095191895,0.8854436728198729,0.3504761904761905,0.16210687518431915,6.365339252924355,1.9370109367109605,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-153-testval
False,False,True,False,True,128,128,153,True,False,True,3,False,1e-05,0.8884826791163858,0.0009355458433464244,0.1468982067587919,0.9097215460730809,0.5482976910147276,1.1751856540703352,0.21425128455481904,0.5549172758281986,0.2833125778331258,0.1457681428946926,5.426207293004584,1.7522897089759415,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-153-trainval
