NaiveBC,RNN,GAN,Test,Train,Params,D-Params,Epochs,Old dataset,New dataset,Time signal,State history,Prepend,Learning rate,Pearson,Euclidean g,Manhattan g,Cosine,Euclidean m,Manhattan m,Pos error,Rot error,Release error,Rel. pos. err,Rel. vel. err,Missed by,Filename
False,False,True,True,False,128,128,0,False,True,True,1,False,1e-05,0.5305513407437593,0.0111243348693502,0.2617754147724785,0.5146271265184015,1.0588801565990438,2.0942033181798285,0.3086399480956969,0.5078404931114119,0.542483660130719,,,,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-0-testval
False,False,True,True,False,128,128,102,False,True,True,1,False,1e-05,0.844216797787829,0.0080070295788113,0.1577803910458926,0.8516474681696324,0.6594310216144256,1.2622431283671414,0.2251962296472592,0.3871601939340253,0.4117647058823529,0.3109110029907274,21.14890555899667,1.5270531821389457,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-102-testval
False,False,True,True,False,128,128,119,False,True,True,1,False,1e-05,0.8494824262743265,0.0075530307485053,0.1425749929484113,0.8549256572143067,0.6112183425807812,1.1405999435872909,0.2010600352547455,0.3660180085240862,0.4117647058823529,0.2990194519556305,25.17398538509383,1.2257461339188829,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-119-testval
False,False,True,True,False,128,128,136,False,True,True,1,False,1e-05,0.8397192696998607,0.0085262233819528,0.1529087984753091,0.84044521612184,0.6742795925685726,1.2232703878024729,0.181267285270426,0.4149347526245763,0.4248366013071896,0.3269959839490088,94.0827000998288,292.19111971480106,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-136-testval
False,False,True,True,False,128,128,153,False,True,True,1,False,1e-05,0.8731973275502387,0.0071680385284363,0.1336168409403084,0.8748016394722901,0.5772101458867834,1.0689347275224672,0.1396738053741202,0.4026850185103012,0.4117647058823529,0.1385882342009735,24.33735610472563,1.513320700352849,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-153-testval
False,False,True,False,True,256,256,17,True,False,True,1,False,1e-05,0.8351421150793282,0.0011064962736352,0.1777024346986469,0.8666978420086717,0.6334614343933908,1.4216194775891755,0.367181431297628,0.5375964961041071,0.3386275460717749,0.7613668725352477,152.12315740211625,405.4678454799678,BCO-leaky_g-256x2-256x2-start-timesignal-ep200-b64-at-17-trainval
False,False,True,True,False,128,128,170,False,True,True,1,False,1e-05,0.8698172511965591,0.0067685968525944,0.1362891146625419,0.8681249804467165,0.5741374192710462,1.090312917300336,0.1001343190788754,0.4643092133303954,0.4117647058823529,0.1147663238982401,24.11118890562007,1.101372220665288,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-170-testval
False,False,True,True,False,128,128,187,False,True,True,1,False,1e-05,0.8884386431988934,0.005858044218199,0.1131819163187132,0.8903053988022717,0.5003517466567166,0.905455330549706,0.0677290654955592,0.3458662898965188,0.4052287581699346,,,,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-187-testval
False,False,True,True,False,128,128,34,False,True,True,1,False,1e-05,0.8750703872206337,0.0068330027717364,0.1772970777346838,0.8539337412317319,0.658158181234671,1.4183766218774705,0.255496490847395,0.4888452498632235,0.3986928104575163,,,,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-34-testval
False,False,True,True,False,128,128,51,False,True,True,1,False,1e-05,0.8892839473570296,0.0059917756642921,0.1398159320505792,0.8901658100960379,0.5426353197173577,1.118527456404634,0.174026529458846,0.4470650914345335,0.4052287581699346,,,,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-51-testval
False,False,True,True,False,128,128,68,False,True,True,1,False,1e-05,0.8844861203566937,0.007126107666572,0.1423485510016648,0.888760846854026,0.5914313020378157,1.1387884080133184,0.1893586601252585,0.3765814033394687,0.4183006535947712,0.2257462074488526,31.33454540914356,77.80835728104857,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-68-testval
False,False,True,False,True,128,128,85,True,False,True,1,False,1e-05,0.9021956607991134,0.0008770827406804,0.1442080467122896,0.920708798579382,0.5116768486696986,1.153664373698317,0.2579521308220747,0.5126109404718997,0.2400581959262852,0.1627179946947096,11.453998127935783,4.8059886281136,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-85-trainval
False,False,True,True,False,128,128,200,False,True,True,1,False,1e-05,0.8829585550531812,0.0060633779712718,0.1123022964822898,0.8886523142013257,0.5313184253532789,0.898418371858319,0.0883162183525157,0.3442908547744207,0.4052287581699346,,,,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-testval
