Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt,quaternion_norm
0.0,1.923140287399292,0.0461642891168594,0.6372562050819397,0.100765436887741,0.867310106754303,0.042500153183937,0.5274070501327515,0.001122819725424,0.0,0.0,0.0,1.0209529637058343
0.01,1.9370131492614744,0.0567336529493331,0.6109986901283264,0.0850794315338134,0.7990082502365112,0.0084050446748733,0.5022490620613098,-0.0412431620061397,0.0,0.0,0.0,0.9476167256510304
0.02,1.952746152877808,0.061572328209877,0.5701597929000854,0.0776427388191223,0.7531639337539673,-0.0050335745327174,0.4942390322685241,-0.0941448360681533,0.0,0.0,0.0,0.9042023357022413
0.03,1.971630573272705,0.0632191598415374,0.5289076566696167,0.0709106624126434,0.7160341143608093,-0.0131687819957733,0.4969008564949035,-0.1476032435894012,0.0,0.0,0.0,0.8745381941212684
0.04,1.9944475889205933,0.0634523034095764,0.4909987449645996,0.0649889707565307,0.6841359734535217,-0.0177746564149856,0.5090235471725464,-0.1952380239963531,0.0,0.0,0.0,0.8553867584198293
0.05,2.020677089691162,0.0637651085853576,0.4560317695140838,0.0594694875180721,0.6582669615745544,-0.0208562836050987,0.5260138511657715,-0.2376594245433807,0.0,0.0,0.0,0.8449719337530216
0.06,2.049759864807129,0.06449556350708,0.4251225292682647,0.0540524683892726,0.6371787786483765,-0.0247982144355773,0.5442092418670654,-0.2746486067771911,0.0,0.0,0.0,0.8400578049584023
0.07,2.0812463760375977,0.0666770935058593,0.4002559185028076,0.0483550392091274,0.6201786994934082,-0.0289404392242431,0.5597343444824219,-0.3046311736106872,0.0,0.0,0.0,0.8373170931838846
0.08,2.1137638092041016,0.0692077577114105,0.3810683488845825,0.0430612228810787,0.6071343421936035,-0.032571867108345,0.5729833841323853,-0.3276609480381012,0.0,0.0,0.0,0.8365627671643042
0.09,2.1471235752105717,0.0717063844203949,0.3675554990768432,0.0385454259812831,0.5982888340950012,-0.035242848098278,0.5839842557907104,-0.3445574641227722,0.0,0.0,0.0,0.8376842771715025
0.1,2.1807453632354736,0.0736089050769805,0.3587242364883423,0.0350069068372249,0.5929912328720093,-0.0373429954051971,0.5925862789154053,-0.3570788502693176,0.0,0.0,0.0,0.8398911138082215
0.11,2.21403169631958,0.0747029483318328,0.3539950549602508,0.0331872068345546,0.5900809168815613,-0.0394088327884674,0.5998897552490234,-0.3654229640960693,0.0,0.0,0.0,0.8430407188978158
0.12,2.2469396591186523,0.0752049684524536,0.3518076241016388,0.0327840410172939,0.5891804099082947,-0.0414620339870452,0.6061668395996094,-0.3709614276885986,0.0,0.0,0.0,0.8469744308169233
0.13,2.27942442893982,0.0752969980239868,0.3510929048061371,0.0332476757466793,0.5895835161209106,-0.0435292050242424,0.6115519404411316,-0.374854564666748,0.0,0.0,0.0,0.8512371573018933
0.14,2.311440944671631,0.0750829577445983,0.3512600660324096,0.0342668555676937,0.5907502770423889,-0.045640081167221,0.6162766814231873,-0.3777338564395904,0.0,0.0,0.0,0.8555934036042374
0.15,2.342969417572021,0.0746654272079467,0.3520082831382751,0.0356724821031093,0.5923760533332825,-0.0477696359157562,0.6205145716667175,-0.3800141215324402,0.0,0.0,0.0,0.8599431296942643
0.16,2.373997688293457,0.0741098225116729,0.3531405925750732,0.0373483262956142,0.5942668914794922,-0.0499098151922225,0.6243981719017029,-0.3819364011287689,0.0,0.0,0.0,0.8642407665185047
0.17,2.4045209884643555,0.0734586119651794,0.3545224070549011,0.0392134450376033,0.5963038802146912,-0.0520584732294082,0.6280218958854675,-0.3836422264575958,0.0,0.0,0.0,0.868468536089459
0.18,2.434539318084717,0.0727398991584777,0.3560612499713897,0.041210975497961,0.5984147787094116,-0.0542157441377639,0.631451427936554,-0.3852144479751587,0.0,0.0,0.0,0.872621822231631
0.19,2.4640555381774902,0.0719726979732513,0.3576937615871429,0.0433005355298519,0.6005554795265198,-0.0563819706439971,0.634732186794281,-0.3867015242576599,0.0,0.0,0.0,0.8767016002796223
0.2,2.4930739402771,0.071170300245285,0.3593767583370209,0.0454534254968166,0.6026994585990906,-0.0585572570562362,0.6378955841064453,-0.388131707906723,0.0,0.0,0.0,0.8807112920029382
0.21,2.5216000080108643,0.0703420937061309,0.3610810339450836,0.0476489625871181,0.6048306226730347,-0.0607408806681633,0.6409631967544556,-0.3895210325717926,0.0,0.0,0.0,0.8846546105326725
0.22,2.54964017868042,0.0694951713085174,0.3627869784832001,0.0498720966279506,0.6069391965866089,-0.0629316568374633,0.6439501047134399,-0.3908786177635193,0.0,0.0,0.0,0.8885350556776161
0.23,2.5772006511688232,0.0686347186565399,0.3644816279411316,0.0521116219460964,0.6090196371078491,-0.0651277676224708,0.6468665599822998,-0.3922097682952881,0.0,0.0,0.0,0.8923555973173755
0.24,2.6042885780334477,0.0677648484706878,0.3661564886569977,0.0543592236936092,0.6110684275627136,-0.0673272833228111,0.6497199535369873,-0.3935174942016601,0.0,0.0,0.0,0.8961185911854939
0.25,2.630910873413086,0.0668888390064239,0.3678061664104461,0.0566084943711757,0.613084077835083,-0.0695277154445648,0.652515172958374,-0.3948031961917877,0.0,0.0,0.0,0.8998259622203078
0.26,2.657074451446533,0.0660093426704406,0.3694274425506592,0.0588544867932796,0.6150655746459961,-0.0717268884181976,0.6552560329437256,-0.3960677683353424,0.0,0.0,0.0,0.9034792343831789
0.27,2.682786464691162,0.0651284456253051,0.3710184097290039,0.0610932670533657,0.6170127391815186,-0.0739223212003707,0.6579453945159912,-0.3973117470741272,0.0,0.0,0.0,0.9070797976628013
0.28,2.708015918731689,0.064252108335495,0.37259441614151,0.0632497072219848,0.6189479231834412,-0.0762019455432891,0.6606889963150024,-0.3984859585762024,0.0,0.0,0.0,0.9107215509874956
0.29,2.732785224914551,0.0633743405342102,0.3741050958633423,0.0653616786003112,0.6208869814872742,-0.0785022675991058,0.6634345650672913,-0.3996326625347137,0.0,0.0,0.0,0.9143745517861139
0.3,2.7571043968200684,0.0624960362911224,0.3755573630332947,0.0674410760402679,0.6228150129318237,-0.0808068215847015,0.6661644577980042,-0.4007607698440552,0.0,0.0,0.0,0.9180150686773434
0.31,2.78098201751709,0.0616187453269958,0.3769599795341491,0.0694935619831085,0.6247219443321228,-0.0831076130270958,0.668868362903595,-0.401872456073761,0.0,0.0,0.0,0.9216282467044967
0.32,2.8044261932373047,0.0607439577579498,0.378319501876831,0.0715217888355255,0.6266021132469177,-0.0853999778628349,0.6715396642684937,-0.4029683172702789,0.0,0.0,0.0,0.9252049781040688
0.33,2.827444553375244,0.0598727464675903,0.3796404004096985,0.0735272467136383,0.6284523010253906,-0.0876800641417503,0.6741737723350525,-0.4040482640266418,0.0,0.0,0.0,0.9287392635318984
0.34,2.8500444889068604,0.0590062737464904,0.3809261322021484,0.0755105316638946,0.6302712559700012,-0.0899451673030853,0.6767680048942566,-0.405112087726593,0.0,0.0,0.0,0.9322278487922893
0.35,2.872233390808105,0.0581454932689666,0.3821794092655182,0.0774717926979065,0.6320582032203674,-0.092193067073822,0.6793206334114075,-0.4061591327190399,0.0,0.0,0.0,0.9356684965931795
0.36,2.894018173217773,0.0572913289070129,0.3834020793437958,0.0794111490249633,0.6338130235671997,-0.094421662390232,0.6818309426307678,-0.407189130783081,0.0,0.0,0.0,0.9390601493462263
0.37,2.9154062271118164,0.0564442873001098,0.3845958411693573,0.0813281834125518,0.6355358958244324,-0.0966296419501304,0.6842984557151794,-0.408202052116394,0.0,0.0,0.0,0.9424021500909997
0.38,2.936404228210449,0.0556052327156066,0.3857622146606445,0.0832225382328033,0.6372272372245789,-0.0988157168030738,0.6867231726646423,-0.4091978073120117,0.0,0.0,0.0,0.9456943504603786
0.39,2.9570188522338867,0.054774522781372,0.3869021236896515,0.0850938558578491,0.6388874053955078,-0.1009787544608116,0.6891053915023804,-0.4101763963699341,0.0,0.0,0.0,0.9489367895322987
0.4,2.977256774902344,0.0539528429508209,0.3880166709423065,0.0869419574737548,0.6405169367790222,-0.1031176298856735,0.6914453506469727,-0.4111379086971283,0.0,0.0,0.0,0.9521295966383483
0.41,2.997124671936035,0.0531404316425323,0.3891069889068603,0.0887662470340728,0.642116367816925,-0.105231650173664,0.6937434673309326,-0.412082314491272,0.0,0.0,0.0,0.9552730369342222
0.42,3.0166289806365967,0.0523376762866973,0.3901737034320831,0.0905666053295135,0.6436862349510193,-0.1073200553655624,0.6960004568099976,-0.4130098819732666,0.0,0.0,0.0,0.9583676273903055
0.43,3.035776138305664,0.0515450239181518,0.3912175297737121,0.0923426747322082,0.6452270150184631,-0.1093823015689849,0.6982166767120361,-0.4139209389686584,0.0,0.0,0.0,0.9614135873918481
0.44,3.054572582244873,0.0507625341415405,0.392239362001419,0.0940942168235778,0.6467392444610596,-0.1114177927374839,0.7003929615020752,-0.4148155450820923,0.0,0.0,0.0,0.9644115288743934
0.45,3.0729799270629883,0.0499984920024871,0.3932630717754364,0.0958715975284576,0.6482540965080261,-0.1134534627199173,0.7025248408317566,-0.4156593680381775,0.0,0.0,0.0,0.9673869841180004
0.46,3.0909857749938965,0.0492558479309082,0.3942887187004089,0.0976807475090026,0.6497737765312195,-0.1154998540878295,0.7046067714691162,-0.4164551496505737,0.0,0.0,0.0,0.9703393261102026
0.47,3.10861873626709,0.0485286116600036,0.3953287005424499,0.0994810461997985,0.6512817740440369,-0.1175200268626213,0.7066117525100708,-0.4171986579895019,0.0,0.0,0.0,0.9732294453283352
0.48,3.125890254974365,0.0478156208992004,0.3963711857795715,0.1012637913227081,0.6527696251869202,-0.119503453373909,0.7085486054420471,-0.4179041981697082,0.0,0.0,0.0,0.9760557057063296
