Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt,quaternion_norm
0.0,0.0,0.0,0.0,-0.59539336,-0.037378676,0.7945325,0.042471323,0.0,-1.7789454,-0.038756855,0.066998206,0.99447274
0.01,0.0077185817,0.0053781103,-0.0064774826,-0.5542736,-0.04040518,0.55029905,0.023184784,0.005251149,-1.7789454,-0.038756855,0.066998206,0.7824438
0.02,-0.0049815048,0.009379003,-8.978532e-05,-0.68010366,-0.046118073,0.7202345,0.021856712,0.03292057,-1.7789454,-0.038756855,0.066998206,0.9919089
0.03,-0.011057679,0.008072272,0.0064416844,-0.6902301,-0.052163135,0.7418129,0.017696999,0.036838647,-1.7789454,-0.038756855,0.066998206,1.0147601
0.04,-0.015182637,0.0059832195,0.013157357,-0.67451257,-0.053700987,0.7270851,0.017350048,0.020325597,-1.7789454,-0.038756855,0.066998206,0.9933805
0.049999997,-0.019064013,0.0051871976,0.01900353,-0.6602046,-0.053316556,0.712095,0.019742332,-0.0032407097,-1.7789454,-0.038756855,0.066998206,0.9727188
0.06,-0.023819055,0.005919747,0.023963273,-0.65151614,-0.05251504,0.70513994,0.023099095,-0.020888167,-1.7789454,-0.038756855,0.066998206,0.9617624
0.07,-0.02996007,0.0075656455,0.028572544,-0.6465531,-0.051781844,0.70583946,0.026368376,-0.024101986,-1.7789454,-0.038756855,0.066998206,0.95896655
0.08,-0.03759434,0.009453067,0.03341184,-0.64285004,-0.05132433,0.7119662,0.029122882,-0.00891765,-1.7789454,-0.038756855,0.066998206,0.961059
0.089999996,-0.046650272,0.011139559,0.038940318,-0.63871187,-0.05128635,0.7215573,0.031272266,0.02518685,-1.7789454,-0.038756855,0.066998206,0.96550816
0.099999994,-0.056994062,0.012409935,0.045471855,-0.6332521,-0.051755875,0.7332795,0.032870125,0.076458074,-1.7789454,-0.038756855,0.066998206,0.97080696
0.11,-0.06847338,0.013198195,0.05318806,-0.6261446,-0.0527579,0.74629307,0.03401984,0.14180194,-1.7789454,-0.038756855,0.066998206,0.9761922
0.12,-0.08092929,0.013518719,0.06215893,-0.6173897,-0.05426385,0.7600594,0.0348348,0.21747659,-1.7789454,-0.038756855,0.066998206,0.981335
