Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt,quaternion_norm
0.0,0.0,0.0,0.0,-0.59539336,-0.037378676,0.7945325,0.042471323,0.0,-1.7789454,-0.038756855,0.066998206,0.99447274
0.01,-0.0043501453,-0.00039648137,0.004720588,-0.68797404,-0.047603764,0.7651804,0.012112422,0.045610875,-1.7789454,-0.038756855,0.066998206,1.0301564
0.02,-0.0074595055,0.00089479785,0.008746107,-0.69647616,-0.05394096,0.7705602,0.010629861,0.033327654,-1.7789454,-0.038756855,0.066998206,1.0401273
0.03,-0.01210365,0.0024145963,0.008621125,-0.6773112,-0.05444356,0.7515081,0.012220379,0.018830461,-1.7789454,-0.038756855,0.066998206,1.0132267
0.04,-0.016986318,0.0031330828,0.009973691,-0.6700733,-0.055244833,0.74823976,0.014090275,-0.0018640398,-1.7789454,-0.038756855,0.066998206,1.0060375
0.049999997,-0.021166895,0.003427227,0.01294275,-0.6694401,-0.055853285,0.7523259,0.015854869,-0.026373563,-1.7789454,-0.038756855,0.066998206,1.0087197
0.06,-0.025053494,0.0037656273,0.016510002,-0.6688851,-0.056070805,0.75693256,0.017673057,-0.04513011,-1.7789454,-0.038756855,0.066998206,1.0118352
0.07,-0.029517125,0.0042879493,0.02030256,-0.66583127,-0.0563066,0.76050514,0.01952485,-0.048298646,-1.7789454,-0.038756855,0.066998206,1.0125468
0.08,-0.035198826,0.004984009,0.024471495,-0.65985614,-0.05696264,0.76348126,0.021360941,-0.030138249,-1.7789454,-0.038756855,0.066998206,1.0109475
0.089999996,-0.04236039,0.00574484,0.029275201,-0.6514361,-0.05816049,0.7668124,0.023224756,0.010547947,-1.7789454,-0.038756855,0.066998206,1.0081133
0.099999994,-0.050987795,0.0065177605,0.03497067,-0.64111435,-0.059814498,0.77105147,0.025170427,0.07149592,-1.7789454,-0.038756855,0.066998206,1.0048678
0.11,-0.060944982,0.007224144,0.04166393,-0.6294794,-0.061754778,0.7766135,0.027260609,0.14841825,-1.7789454,-0.038756855,0.066998206,1.0019629
0.12,-0.072050296,0.0078794155,0.04941514,-0.6169805,-0.06379512,0.7836606,0.029574644,0.23634851,-1.7789454,-0.038756855,0.066998206,0.99986666
0.13,-0.08408467,0.008402711,0.058172956,-0.6038406,-0.06573061,0.7921746,0.03209997,0.3303317,-1.7789454,-0.038756855,0.066998206,0.9987567
0.14,-0.09684869,0.0088192765,0.06785929,-0.5903,-0.06745794,0.80200803,0.034831744,0.42593727,-1.7789454,-0.038756855,0.066998206,0.9987166
0.14999999,-0.11013176,0.009083692,0.07839829,-0.5764625,-0.06884513,0.8128976,0.03776696,0.5196699,-1.7789454,-0.038756855,0.066998206,0.9996387
0.16,-0.12369234,0.0092414,0.08963639,-0.5624334,-0.0698217,0.82458496,0.040836312,0.60863405,-1.7789454,-0.038756855,0.066998206,1.0014062
0.17,-0.13733743,0.009258565,0.101429924,-0.5482985,-0.07037631,0.83678323,0.044022426,0.69085795,-1.7789454,-0.038756855,0.066998206,1.0038567
0.17999999,-0.15090422,0.009157055,0.11361008,-0.5341196,-0.070488974,0.8492058,0.047254313,0.765123,-1.7789454,-0.038756855,0.066998206,1.0067948
0.19,-0.16422203,0.008923484,0.12601681,-0.5199801,-0.07013357,0.861636,0.05052924,0.8306795,-1.7789454,-0.038756855,0.066998206,1.0100831
0.19999999,-0.17711976,0.008608233,0.13849637,-0.50603676,-0.06936956,0.8738977,0.053794034,0.88735336,-1.7789454,-0.038756855,0.066998206,1.013645
0.21,-0.18949232,0.008193057,0.15089053,-0.49237475,-0.06821644,0.88579947,0.057042576,0.9352342,-1.7789454,-0.038756855,0.066998206,1.0173401
0.22,-0.2012284,0.007744033,0.16305204,-0.47913516,-0.06669478,0.8972503,0.060253024,0.9747976,-1.7789454,-0.038756855,0.066998206,1.0211303
0.22999999,-0.21226345,0.0072573535,0.17481747,-0.4663944,-0.06483954,0.90815085,0.0634147,1.00669,-1.7789454,-0.038756855,0.066998206,1.0249329
0.24,-0.22249797,0.006715347,0.18610647,-0.4543099,-0.06271686,0.91844827,0.06655071,1.0315834,-1.7789454,-0.038756855,0.066998206,1.0287405
