Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt,quaternion_norm
0.0,0.0,0.0,0.0,-0.59539336,-0.037378676,0.7945325,0.042471323,0.0,-1.7789454,-0.038756855,0.066998206,0.99447274
0.01,0.0031940406,-0.0132955,0.01035559,-0.6792955,-0.041575566,0.7387312,0.005254781,0.03666767,-1.7789454,-0.038756855,0.066998206,1.0044513
0.02,-0.013666266,-0.027604733,0.02424024,-0.69194084,-0.04899069,0.74912167,0.003038803,0.06708775,-1.7789454,-0.038756855,0.066998206,1.0209676
0.03,-0.02115997,-0.020535905,0.034057274,-0.6850365,-0.05673361,0.7475133,0.0020206515,0.062349014,-1.7789454,-0.038756855,0.066998206,1.0155165
0.04,-0.02766233,-0.012388531,0.035512045,-0.67894864,-0.06265297,0.74510515,0.0017514918,0.044615377,-1.7789454,-0.038756855,0.066998206,1.0099908
0.049999997,-0.035729356,-0.006190378,0.03526359,-0.6726752,-0.06715696,0.74540657,0.0026389156,0.029842962,-1.7789454,-0.038756855,0.066998206,1.0063001
0.06,-0.044711165,-0.0019254722,0.036578827,-0.6653542,-0.07083087,0.74826247,0.0040425304,0.02689315,-1.7789454,-0.038756855,0.066998206,1.0038059
0.07,-0.054286823,0.0009678565,0.040231474,-0.65651053,-0.0742378,0.7530004,0.0053532217,0.040233795,-1.7789454,-0.038756855,0.066998206,1.0017762
0.08,-0.06436602,0.003062036,0.046047866,-0.64609855,-0.07778941,0.75931597,0.006332049,0.07115358,-1.7789454,-0.038756855,0.066998206,1.0000477
0.089999996,-0.074896686,0.0047352277,0.05359436,-0.63424575,-0.08176169,0.7670437,0.006956445,0.11895446,-1.7789454,-0.038756855,0.066998206,0.9986777
0.099999994,-0.08584842,0.0061694793,0.062443875,-0.6210946,-0.08631263,0.77600944,0.007279573,0.18182236,-1.7789454,-0.038756855,0.066998206,0.9977234
0.11,-0.09722816,0.007409107,0.07226286,-0.6067638,-0.091501944,0.78598785,0.0073672254,0.25732505,-1.7789454,-0.038756855,0.066998206,0.9971791
0.12,-0.10909124,0.0084143095,0.08282951,-0.59135073,-0.0973089,0.7966876,0.0072808433,0.3426527,-1.7789454,-0.038756855,0.066998206,0.9969598
0.13,-0.121541284,0.009101849,0.09402982,-0.57494444,-0.1036412,0.8077481,0.007075051,0.43471143,-1.7789454,-0.038756855,0.066998206,0.99689996
0.14,-0.13471165,0.009379428,0.1058443,-0.5576417,-0.11033597,0.81875205,0.006796712,0.53015673,-1.7789454,-0.038756855,0.066998206,0.9967645
0.14999999,-0.14872476,0.009181272,0.118327,-0.5395713,-0.117158696,0.82925683,0.006482376,0.6254424,-1.7789454,-0.038756855,0.066998206,0.9962792
0.16,-0.16363181,0.008503374,0.13156869,-0.5209204,-0.12381045,0.83884823,0.0061557386,0.7169505,-1.7789454,-0.038756855,0.066998206,0.99518406
0.17,-0.17935146,0.0074264966,0.14564094,-0.50195116,-0.12995397,0.847206,0.005830938,0.80123985,-1.7789454,-0.038756855,0.066998206,0.993295
0.17999999,-0.19563822,0.0061104707,0.16052924,-0.4829893,-0.13526383,0.85416126,0.005525803,0.875398,-1.7789454,-0.038756855,0.066998206,0.99055386
0.19,-0.2121058,0.0047554933,0.17608155,-0.4643804,-0.13949047,0.8597208,0.005279256,0.93740606,-1.7789454,-0.038756855,0.066998206,0.9870433
0.19999999,-0.22830184,0.0035447367,0.19200012,-0.4464301,-0.14251134,0.8640477,0.0051604044,0.986387,-1.7789454,-0.038756855,0.066998206,0.9829621
0.21,-0.24380119,0.0025981925,0.20788912,-0.42936075,-0.14434674,0.8674067,0.0052575227,1.0226331,-1.7789454,-0.038756855,0.066998206,0.9785748
0.22,-0.258277,0.0019575618,0.2233345,-0.41330287,-0.14513317,0.87009835,0.005651394,1.0474024,-1.7789454,-0.038756855,0.066998206,0.9741591
0.22999999,-0.27153057,0.0015994869,0.23798224,-0.39831638,-0.14507279,0.8724036,0.006389329,1.0625719,-1.7789454,-0.038756855,0.066998206,0.9699644
0.24,-0.28348404,0.0014627762,0.25158468,-0.38442075,-0.14438325,0.87455237,0.0074739847,1.0702641,-1.7789454,-0.038756855,0.066998206,0.9661902
0.25,-0.294154,0.0014733188,0.26401034,-0.37161845,-0.14326267,0.8767103,0.008869005,1.0725417,-1.7789454,-0.038756855,0.066998206,0.9629767
0.26,-0.3036199,0.0015612505,0.27522746,-0.35990602,-0.14187208,0.87898123,0.010513881,1.0712103,-1.7789454,-0.038756855,0.066998206,0.9604054
0.26999998,-0.3119961,0.0016699247,0.28527546,-0.34927607,-0.14033215,0.8814186,0.012339534,1.0677245,-1.7789454,-0.038756855,0.066998206,0.9585082
0.28,-0.31941122,0.0017584749,0.29423767,-0.3397157,-0.13872713,0.8840364,0.01427968,1.0631723,-1.7789454,-0.038756855,0.066998206,0.95727545
0.29,-0.3259939,0.0018014796,0.30221733,-0.33120304,-0.13711199,0.88682175,0.016277054,1.0583076,-1.7789454,-0.038756855,0.066998206,0.9566676
0.29999998,-0.33186418,0.0017861761,0.3093221,-0.3237059,-0.13552031,0.8897445,0.0182856,1.0536067,-1.7789454,-0.038756855,0.066998206,0.9566248
0.31,-0.33712938,0.0017096959,0.31565365,-0.3171824,-0.13397108,0.89276487,0.020270044,1.0493317,-1.7789454,-0.038756855,0.066998206,0.9570752
0.32,-0.3418817,0.0015758313,0.3213036,-0.3115813,-0.13247415,0.8958389,0.022204215,1.0455898,-1.7789454,-0.038756855,0.066998206,0.95794195
0.32999998,-0.34619883,0.001392629,0.32635063,-0.3068452,-0.13103448,0.8989221,0.02406923,1.0423857,-1.7789454,-0.038756855,0.066998206,0.9591477
0.34,-0.35014507,0.0011698417,0.3308616,-0.30291206,-0.12965472,0.9019716,0.025851851,1.0396612,-1.7789454,-0.038756855,0.066998206,0.9606181
0.35,-0.3537733,0.0009179376,0.33489245,-0.29971808,-0.12833726,0.9049479,0.027542444,1.037326,-1.7789454,-0.038756855,0.066998206,0.9622841
0.35999998,-0.35712585,0.00064663216,0.33849007,-0.29719967,-0.12708491,0.90781546,0.029134197,1.0352788,-1.7789454,-0.038756855,0.066998206,0.96408296
0.37,-0.36023778,0.0003646128,0.34169433,-0.2952948,-0.12590177,0.91054314,0.030622026,1.0334208,-1.7789454,-0.038756855,0.066998206,0.965959
0.38,-0.3631374,7.913634e-05,0.34453917,-0.29394445,-0.124792874,0.91310406,0.032002017,1.0316644,-1.7789454,-0.038756855,0.066998206,0.9678635
0.39,-0.36584836,-0.00020393357,0.34705466,-0.29309326,-0.12376435,0.91547483,0.033271,1.029936,-1.7789454,-0.038756855,0.066998206,0.9697538
0.39999998,-0.36839032,-0.00048004463,0.34926695,-0.29268977,-0.122823246,0.9176359,0.034426317,1.0281773,-1.7789454,-0.038756855,0.066998206,0.9715934
0.41,-0.3707803,-0.00074597076,0.35120046,-0.29268697,-0.12197702,0.91957104,0.035465427,1.0263448,-1.7789454,-0.038756855,0.066998206,0.9733513
0.42,-0.37303287,-0.000999216,0.35287693,-0.29304168,-0.121233486,0.92126703,0.036386237,1.0244075,-1.7789454,-0.038756855,0.066998206,0.97500145
0.42999998,-0.37516105,-0.0012379996,0.35431683,-0.29371488,-0.120600544,0.9227126,0.037186712,1.0223448,-1.7789454,-0.038756855,0.066998206,0.97652155
0.44,-0.37717625,-0.0014612488,0.35553935,-0.29467112,-0.120085806,0.9238988,0.03786523,1.0201445,-1.7789454,-0.038756855,0.066998206,0.9778929
0.45,-0.379089,-0.0016683452,0.3565619,-0.2958782,-0.11969681,0.924819,0.03842011,1.0178003,-1.7789454,-0.038756855,0.066998206,0.97910035
0.45999998,-0.38090867,-0.0018587895,0.35740125,-0.29730713,-0.119440675,0.9254675,0.038850047,1.0153108,-1.7789454,-0.038756855,0.066998206,0.9801311
0.47,-0.38264382,-0.002032254,0.35807267,-0.29893166,-0.119324066,0.92584014,0.039153986,1.0126771,-1.7789454,-0.038756855,0.066998206,0.9809747
0.48,-0.3843022,-0.0021886788,0.3585904,-0.30072775,-0.119353294,0.92593414,0.03933087,1.0099027,-1.7789454,-0.038756855,0.066998206,0.9816228
0.48999998,-0.38589072,-0.0023280121,0.3589676,-0.3026738,-0.11953411,0.92574763,0.03938009,1.0069922,-1.7789454,-0.038756855,0.066998206,0.9820689
0.5,-0.387416,-0.0024502464,0.35921654,-0.30474985,-0.11987189,0.92527914,0.039301075,1.0039508,-1.7789454,-0.038756855,0.066998206,0.98230743
0.0,0.0,0.0,0.0,-0.59539336,-0.037378676,0.7945325,0.042471323,0.0,-1.5959866,-0.065239266,-0.45726252,0.99447274
0.01,0.0027259653,0.009379137,-0.009214127,-0.67116636,-0.04471468,0.75921136,0.019713046,0.08834067,-1.5959866,-0.065239266,-0.45726252,1.0145217
0.02,-0.009503179,0.0015881024,0.0016273465,-0.6635966,-0.041863218,0.77332056,0.019314105,0.15807112,-1.5959866,-0.065239266,-0.45726252,1.0200542
0.03,-0.0108075375,0.0043684654,0.009110125,-0.64883536,-0.042590633,0.77449614,0.017514968,0.18225186,-1.5959866,-0.065239266,-0.45726252,1.0114111
0.04,-0.014577859,0.0061580054,0.010253536,-0.6410777,-0.04282838,0.772966,0.016356597,0.1870046,-1.5959866,-0.065239266,-0.45726252,1.0052656
0.049999997,-0.02116733,0.0065985434,0.011247182,-0.636003,-0.042236865,0.77285206,0.016711215,0.18843262,-1.5959866,-0.065239266,-0.45726252,1.0019299
0.06,-0.029094674,0.00614604,0.014095159,-0.6316105,-0.041323647,0.7747842,0.017649869,0.195923,-1.5959866,-0.065239266,-0.45726252,1.0006206
0.07,-0.03784395,0.00530171,0.018903995,-0.6266146,-0.040682152,0.77832144,0.018476361,0.21452077,-1.5959866,-0.065239266,-0.45726252,1.0002133
0.08,-0.047236234,0.0044342987,0.025296101,-0.620496,-0.040683866,0.78323394,0.01895375,0.24601784,-1.5959866,-0.065239266,-0.45726252,1.0002426
0.089999996,-0.057159483,0.0037066452,0.032862745,-0.61310893,-0.041521598,0.78936565,0.019063132,0.29016685,-1.5959866,-0.065239266,-0.45726252,1.000544
0.099999994,-0.067548916,0.0031260215,0.041282244,-0.6044451,-0.04326081,0.7965356,0.018855466,0.34554136,-1.5959866,-0.065239266,-0.45726252,1.0010244
0.11,-0.07839053,0.0026173256,0.050339974,-0.59454954,-0.045875512,0.8045189,0.018393097,0.41004065,-1.5959866,-0.065239266,-0.45726252,1.00159
0.12,-0.08971552,0.0020777099,0.059919544,-0.5834951,-0.049272574,0.81304264,0.017734045,0.4811678,-1.5959866,-0.065239266,-0.45726252,1.0021213
0.13,-0.101583146,0.0014110766,0.06998489,-0.5713791,-0.05330325,0.8217956,0.016929368,0.5561878,-1.5959866,-0.065239266,-0.45726252,1.0024719
0.14,-0.114052914,0.00055145845,0.080557324,-0.5583289,-0.057770096,0.8304485,0.016023973,0.63224274,-1.5959866,-0.065239266,-0.45726252,1.0024819
0.14999999,-0.12714921,-0.0005206205,0.09168715,-0.5445104,-0.06243466,0.8386853,0.015057769,0.7064771,-1.5959866,-0.065239266,-0.45726252,1.0020027
