Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt,quaternion_norm
0.0,0.0,0.0,0.0,-0.59539336,-0.037378676,0.7945325,0.042471323,0.0,-1.7789454,-0.038756855,0.066998206,0.99447274
0.01,-0.0003500306,0.03002483,0.01494422,-0.43469402,-0.062073678,0.5037581,0.051251784,0.05376058,-1.7789454,-0.038756855,0.066998206,0.67023206
0.02,-0.02116707,0.020320866,0.034817975,-0.60728335,-0.07926948,0.7234365,0.0012143468,0.07459313,-1.7789454,-0.038756855,0.066998206,0.94785994
0.03,-0.02688155,0.01203784,0.024685021,-0.659001,-0.08109553,0.7552399,-0.005616897,0.07619166,-1.7789454,-0.038756855,0.066998206,1.005623
0.04,-0.029926304,0.00529163,0.019908413,-0.66192335,-0.08263614,0.74628943,0.00038827863,0.06569193,-1.7789454,-0.038756855,0.066998206,1.0009592
0.049999997,-0.03488993,0.00067051174,0.024171486,-0.65264124,-0.0836135,0.7367374,0.0048860004,0.05941879,-1.7789454,-0.038756855,0.066998206,0.98779434
0.06,-0.042337444,-0.0014703902,0.032646127,-0.64230436,-0.08396304,0.7315981,0.0062620332,0.06539554,-1.7789454,-0.038756855,0.066998206,0.9771794
0.07,-0.05186611,-0.0018063704,0.04211481,-0.6329772,-0.08429989,0.73033845,0.0061186543,0.0853287,-1.7789454,-0.038756855,0.066998206,0.97015375
0.08,-0.06285525,-0.0011983807,0.051482134,-0.6245074,-0.08501687,0.732196,0.0056555932,0.11808795,-1.7789454,-0.038756855,0.066998206,0.9661161
0.089999996,-0.074728884,-0.00025492487,0.060637288,-0.6163802,-0.08620153,0.73648053,0.005374237,0.16150172,-1.7789454,-0.038756855,0.066998206,0.96425503
0.099999994,-0.08706964,0.00068150135,0.0697613,-0.6081514,-0.087781325,0.7425802,0.0053948825,0.21311724,-1.7789454,-0.038756855,0.066998206,0.9638507
0.11,-0.09961634,0.0014499356,0.07905296,-0.5995265,-0.089636475,0.7499834,0.005693673,0.2705201,-1.7789454,-0.038756855,0.066998206,0.9643517
0.12,-0.112218104,0.0019940813,0.08864759,-0.590347,-0.09165253,0.7582793,0.006211861,0.3314751,-1.7789454,-0.038756855,0.066998206,0.9653683
0.13,-0.12478876,0.0023105522,0.09860873,-0.5805579,-0.09373563,0.7671424,0.0068934998,0.3939924,-1.7789454,-0.038756855,0.066998206,0.9666379
0.14,-0.13727456,0.0024188613,0.10894173,-0.5701783,-0.095812835,0.7763165,0.0076927757,0.45635727,-1.7789454,-0.038756855,0.066998206,0.9679927
0.14999999,-0.14963491,0.0023463625,0.11961005,-0.5592771,-0.09782873,0.78560036,0.008573524,0.51714057,-1.7789454,-0.038756855,0.066998206,0.9693311
0.16,-0.16183294,0.0021217396,0.13054906,-0.5479557,-0.099742495,0.7948364,0.009506709,0.57519615,-1.7789454,-0.038756855,0.066998206,0.9705974
