Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt,quaternion_norm
0.0,0.0,0.0,0.0,-0.59539336,-0.037378676,0.7945325,0.042471323,0.0,-1.7789454,-0.038756855,0.066998206,0.99447274
0.01,-0.0035902122,0.0038206072,0.019239496,-0.68575275,-0.038280785,0.74552506,0.03342534,0.03809811,-1.7789454,-0.038756855,0.066998206,1.0142224
0.02,-0.009727166,0.00829977,0.014130856,-0.688884,-0.036604397,0.77579206,0.036052775,0.05001475,-1.7789454,-0.038756855,0.066998206,1.0387753
0.03,-0.011683752,0.010843343,0.014558389,-0.67355937,-0.035934962,0.7754669,0.0416595,0.050798573,-1.7789454,-0.038756855,0.066998206,1.0286195
0.04,-0.014089623,0.012278032,0.015503298,-0.6627039,-0.034065638,0.7828918,0.045717917,0.04490497,-1.7789454,-0.038756855,0.066998206,1.0273006
0.049999997,-0.01568826,0.013506167,0.017307889,-0.65179825,-0.03205061,0.78557235,0.049199995,0.035476148,-1.7789454,-0.038756855,0.066998206,1.0224543
0.06,-0.017898928,0.014858481,0.019634739,-0.641807,-0.030013055,0.78728247,0.05233762,0.03232889,-1.7789454,-0.038756855,0.066998206,1.0175313
0.07,-0.02115924,0.016331509,0.02246748,-0.6318287,-0.028169096,0.7895709,0.05548903,0.04250599,-1.7789454,-0.038756855,0.066998206,1.0131645
0.08,-0.025575377,0.017917223,0.025832199,-0.6212017,-0.026606444,0.7932353,0.058801178,0.06975357,-1.7789454,-0.038756855,0.066998206,1.0095936
0.089999996,-0.03105897,0.019631295,0.029733233,-0.6094841,-0.025339693,0.79854923,0.062311713,0.11524089,-1.7789454,-0.038756855,0.066998206,1.0068151
0.099999994,-0.037437715,0.021489399,0.03414704,-0.5964358,-0.02434421,0.80550045,0.06601582,0.17833014,-1.7789454,-0.038756855,0.066998206,1.0047474
0.11,-0.044522475,0.023489872,0.03903415,-0.5819894,-0.0235731,0.8139306,0.06990208,0.25713068,-1.7789454,-0.038756855,0.066998206,1.0033128
0.12,-0.05214493,0.025607845,0.044356406,-0.56623065,-0.02296222,0.8236188,0.07396816,0.34885722,-1.7789454,-0.038756855,0.066998206,1.0024787
0.13,-0.06017395,0.027797176,0.0500909,-0.5493792,-0.022427987,0.83433014,0.07822597,0.45007142,-1.7789454,-0.038756855,0.066998206,1.0022707
0.14,-0.068516485,0.029997302,0.05623614,-0.5317625,-0.021863991,0.84584314,0.08270185,0.5568839,-1.7789454,-0.038756855,0.066998206,1.0027659
