Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt,quaternion_norm
0.0,0.0,0.0,0.0,-0.59539336,-0.037378676,0.7945325,0.042471323,0.0,-1.7789454,-0.038756855,0.066998206,0.99447274
0.01,-0.0069463556,0.0071579125,-0.013967756,-0.6151099,0.21024187,0.633371,0.25505668,-0.022289589,-1.7789454,-0.038756855,0.066998206,0.9427484
0.02,0.0017782548,0.016229352,-0.007132035,-0.6268745,0.21804401,0.6473829,0.2881358,-0.023853015,-1.7789454,-0.038756855,0.066998206,0.9708974
0.03,0.0075881635,0.02010342,-0.010162523,-0.63157165,0.2270781,0.6493011,0.30539536,-0.031680778,-1.7789454,-0.038756855,0.066998206,0.9824996
0.04,0.010683183,0.021717476,-0.013717754,-0.6347063,0.24035238,0.6480533,0.32516542,-0.04422129,-1.7789454,-0.038756855,0.066998206,0.99314
0.049999997,0.01382157,0.022321714,-0.017758457,-0.63668,0.25387916,0.645368,0.34481877,-0.06003596,-1.7789454,-0.038756855,0.066998206,1.0026046
0.06,0.016931087,0.022437287,-0.022120805,-0.63715535,0.2680033,0.6413076,0.36475596,-0.079416156,-1.7789454,-0.038756855,0.066998206,1.010997
0.07,0.020014634,0.02221323,-0.026471427,-0.63583356,0.28270194,0.6358638,0.38507435,-0.1039918,-1.7789454,-0.038756855,0.066998206,1.0182385
0.08,0.02310697,0.021652719,-0.030710055,-0.6326338,0.29768297,0.62898344,0.40544298,-0.13604723,-1.7789454,-0.038756855,0.066998206,1.0241313
0.089999996,0.02621296,0.020701947,-0.03480594,-0.6275548,0.31273687,0.62064856,0.42549023,-0.1781019,-1.7789454,-0.038756855,0.066998206,1.028531
0.099999994,0.029297167,0.019265978,-0.038714632,-0.620574,0.3277811,0.610866,0.44489413,-0.23287153,-1.7789454,-0.038756855,0.066998206,1.0313295
0.11,0.032299634,0.01720777,-0.04236246,-0.61159897,0.3428274,0.5996167,0.46337092,-0.30346453,-1.7789454,-0.038756855,0.066998206,1.0323937
0.12,0.035166863,0.014336718,-0.04564657,-0.6004323,0.35795102,0.58680713,0.48065764,-0.39368665,-1.7789454,-0.038756855,0.066998206,1.0315145
0.13,0.037889786,0.010385169,-0.048431993,-0.5867316,0.37326786,0.57222074,0.49650717,-0.5084029,-1.7789454,-0.038756855,0.066998206,1.028367
0.14,0.04055734,0.00496733,-0.050536685,-0.569955,0.38890788,0.5554518,0.51070094,-0.6539443,-1.7789454,-0.038756855,0.066998206,1.0224677
0.14999999,0.04344097,-0.0024892555,-0.051694572,-0.5492828,0.4049643,0.53580487,0.5230914,-0.8385406,-1.7789454,-0.038756855,0.066998206,1.0131235
0.16,0.04713189,-0.012852797,-0.0514813,-0.52351415,0.42138746,0.5121379,0.53369606,-1.0727022,-1.7789454,-0.038756855,0.066998206,0.9993754
0.17,0.052737657,-0.027448768,-0.049190067,-0.49094114,0.43777373,0.4826358,0.5428713,-1.3693662,-1.7789454,-0.038756855,0.066998206,0.9799569
0.17999999,0.06208382,-0.048255295,-0.043666862,-0.44922578,0.4529993,0.44453266,0.5515796,-1.743449,-1.7789454,-0.038756855,0.066998206,0.95334226
0.19,0.07772893,-0.078027315,-0.033190243,-0.3953456,0.4646941,0.39389804,0.5616918,-2.2102704,-1.7789454,-0.038756855,0.066998206,0.91809154
0.19999999,0.10245591,-0.120115556,-0.0155793335,-0.32575667,0.46871147,0.32577166,0.5761507,-2.782199,-1.7789454,-0.038756855,0.066998206,0.87400496
0.21,0.13801919,-0.17772204,0.0112875495,-0.23705035,0.4590206,0.23506461,0.5987369,-3.4630103,-1.7789454,-0.038756855,0.066998206,0.8250055
0.22,0.18347551,-0.2526144,0.0485963,-0.12736571,0.42869392,0.118442915,0.6332357,-4.2403803,-1.7789454,-0.038756855,0.066998206,0.78423
0.22999999,0.23410772,-0.34383652,0.09572283,0.001721113,0.37244233,-0.023399474,0.68200463,-5.079531,-1.7789454,-0.038756855,0.066998206,0.7774279
0.24,0.28219384,-0.4472762,0.14984785,0.14413923,0.2898781,-0.18462905,0.74443555,-5.92428,-1.7789454,-0.038756855,0.066998206,0.8325128
0.25,0.32007575,-0.556653,0.20650528,0.29053167,0.18702644,-0.35559806,0.81649476,-6.710218,-1.7789454,-0.038756855,0.066998206,0.9552493
0.26,0.34382397,-0.66550094,0.2611073,0.43127516,0.074160635,-0.5260074,0.8921874,-7.3851213,-1.7789454,-0.038756855,0.066998206,1.1243577
0.26999998,0.35451245,-0.76887935,0.31056067,0.5591287,-0.038572103,-0.6878459,0.96599334,-7.9233556,-1.7789454,-0.038756855,0.066998206,1.3116355
0.28,0.35636473,-0.8639372,0.3538029,0.6701516,-0.14431399,-0.8366098,1.034416,-8.3261795,-1.7789454,-0.038756855,0.066998206,1.4966168
0.29,0.3539801,-0.94955224,0.39121398,0.7632495,-0.23996398,-0.97087425,1.0960324,-8.61208,-1.7789454,-0.038756855,0.066998206,1.6685371
0.29999998,0.35069525,-1.0257084,0.4237591,0.83923167,-0.3250111,-1.0911506,1.1507599,-8.805843,-1.7789454,-0.038756855,0.066998206,1.8234034
0.31,0.34830087,-1.0929959,0.45243925,0.8999329,-0.40020064,-1.198831,1.1991267,-8.931311,-1.7789454,-0.038756855,0.066998206,1.9609029
0.32,0.3474264,-1.1522905,0.47807923,0.9475862,-0.4666691,-1.2955183,1.2418362,-9.0081835,-1.7789454,-0.038756855,0.066998206,2.0823603
0.32999998,0.34803227,-1.2045631,0.501302,0.98443556,-0.5255393,-1.3827093,1.2795757,-9.0514345,-1.7789454,-0.038756855,0.066998206,2.1896355
0.34,0.34977686,-1.2507712,0.52256626,1.0125372,-0.57778937,-1.4616915,1.3129618,-9.071894,-1.7789454,-0.038756855,0.066998206,2.2846189
0.35,0.35223722,-1.2917991,0.5422099,1.0336748,-0.62423825,-1.5335369,1.3425317,-9.077158,-1.7789454,-0.038756855,0.066998206,2.369026
0.35999998,0.35502,-1.3284326,0.5604879,1.0493469,-0.6655697,-1.5991324,1.3687536,-9.072461,-1.7789454,-0.038756855,0.066998206,2.444345
0.37,0.35780513,-1.3613505,0.57759607,1.0607837,-0.7023631,-1.6592172,1.3920364,-9.061365,-1.7789454,-0.038756855,0.066998206,2.5118408
0.38,0.3603557,-1.391129,0.59368813,1.0689822,-0.735117,-1.7144115,1.4127383,-9.04627,-1.7789454,-0.038756855,0.066998206,2.5725777
0.39,0.3625108,-1.4182523,0.6088879,1.0747404,-0.7642666,-1.7652429,1.4311715,-9.028785,-1.7789454,-0.038756855,0.066998206,2.6274521
0.39999998,0.36417156,-1.4431232,0.62329566,1.0786926,-0.7901969,-1.8121657,1.4476103,-9.009975,-1.7789454,-0.038756855,0.066998206,2.6772203
0.41,0.36528847,-1.4660758,0.636994,1.0813386,-0.8132506,-1.8555733,1.462294,-8.990542,-1.7789454,-0.038756855,0.066998206,2.722522
0.42,0.3658464,-1.4873873,0.6500517,1.0830691,-0.83373356,-1.8958105,1.4754319,-8.9709425,-1.7789454,-0.038756855,0.066998206,2.7639008
0.42999998,0.3658565,-1.5072875,0.6625254,1.084187,-0.85192007,-1.9331801,1.4872059,-8.951466,-1.7789454,-0.038756855,0.066998206,2.80182
0.44,0.36534637,-1.5259674,0.6744634,1.0849253,-0.8680555,-1.9679503,1.4977747,-8.93229,-1.7789454,-0.038756855,0.066998206,2.8366778
0.45,0.3643538,-1.5435848,0.6859059,1.0854603,-0.88236105,-2.0003593,1.5072767,-8.913525,-1.7789454,-0.038756855,0.066998206,2.8688161
0.45999998,0.36292294,-1.560273,0.6968871,1.0859238,-0.8950333,-2.0306184,1.5158322,-8.8952265,-1.7789454,-0.038756855,0.066998206,2.8985295
0.47,0.3610998,-1.5761433,0.7074359,1.0864125,-0.90624887,-2.058917,1.5235459,-8.877426,-1.7789454,-0.038756855,0.066998206,2.9260743
0.48,0.3589312,-1.591289,0.7175776,1.0869955,-0.9161653,-2.085424,1.530509,-8.86013,-1.7789454,-0.038756855,0.066998206,2.9516723
0.48999998,0.3564614,-1.6057901,0.7273335,1.0877196,-0.9249231,-2.1102908,1.5368007,-8.843338,-1.7789454,-0.038756855,0.066998206,2.9755168
0.0,0.0,0.0,0.0,-0.59539336,-0.037378676,0.7945325,0.042471323,0.0,-1.5959866,-0.065239266,-0.45726252,0.99447274
0.01,-0.017284991,-0.0014385001,-0.0011288072,-0.60510296,0.25166535,0.64209574,0.27395263,-0.014269576,-1.5959866,-0.065239266,-0.45726252,0.9575082
0.02,-0.0110479,0.0010417684,0.014422979,-0.60916287,0.27910858,0.6599422,0.30916724,0.0024072854,-1.5959866,-0.065239266,-0.45726252,0.98999447
0.03,-0.01068319,0.0007630198,0.015875308,-0.6098243,0.2980423,0.66407996,0.32140946,0.025112908,-1.5959866,-0.065239266,-0.45726252,1.0025074
0.04,-0.014900228,-0.00027934625,0.015984109,-0.6107827,0.31606027,0.6647792,0.33345935,0.05330524,-1.5959866,-0.065239266,-0.45726252,1.0129541
0.049999997,-0.01982308,-0.0014018805,0.015722604,-0.6115186,0.33193144,0.66457367,0.34435767,0.08677012,-1.5959866,-0.065239266,-0.45726252,1.0219461
0.06,-0.025109634,-0.0023369656,0.015260356,-0.6114633,0.34718478,0.6636901,0.35513434,0.12501651,-1.5959866,-0.065239266,-0.45726252,1.0300629
0.07,-0.03062645,-0.003029877,0.014836619,-0.6103406,0.36239958,0.66215897,0.36631775,0.16721469,-1.5959866,-0.065239266,-0.45726252,1.0375415
0.08,-0.036295656,-0.0034990178,0.014476219,-0.60815156,0.37760344,0.6599761,0.37788442,0.21239115,-1.5959866,-0.065239266,-0.45726252,1.0444126
0.089999996,-0.04209852,-0.003769012,0.014141692,-0.60500455,0.39274612,0.65717983,0.38967642,0.25968456,-1.5959866,-0.065239266,-0.45726252,1.0507202
0.099999994,-0.048068076,-0.003856005,0.013808886,-0.6010221,0.4078025,0.6538497,0.40153697,0.3084368,-1.5959866,-0.065239266,-0.45726252,1.0565425
0.11,-0.05427432,-0.0037654282,0.013476474,-0.59631395,0.4227716,0.6500772,0.41333035,0.35815263,-1.5959866,-0.065239266,-0.45726252,1.0619645
0.12,-0.06080497,-0.0034934373,0.013160603,-0.5909721,0.4376645,0.6459479,0.4249388,0.40841615,-1.5959866,-0.065239266,-0.45726252,1.0670613
0.13,-0.06775035,-0.003029728,0.012888281,-0.5850718,0.45249778,0.6415336,0.4362586,0.4588154,-1.5959866,-0.065239266,-0.45726252,1.071891
0.14,-0.07519333,-0.0023606063,0.012692122,-0.5786749,0.46728984,0.6368928,0.44719762,0.5088939,-1.5959866,-0.065239266,-0.45726252,1.0764955
0.14999999,-0.08320368,-0.0014710741,0.012607606,-0.57183325,0.48205933,0.632071,0.45767382,0.55813146,-1.5959866,-0.065239266,-0.45726252,1.080904
0.16,-0.0918344,-0.00034613325,0.012671215,-0.5645918,0.49682295,0.62710404,0.46761504,0.6059514,-1.5959866,-0.065239266,-0.45726252,1.085136
0.17,-0.10111982,0.0010286404,0.012920098,-0.5569922,0.5115932,0.62201977,0.47695962,0.6517493,-1.5959866,-0.065239266,-0.45726252,1.0892047
0.17999999,-0.111074835,0.002667269,0.013391027,-0.5490751,0.5263762,0.61684084,0.48565683,0.6949356,-1.5959866,-0.065239266,-0.45726252,1.0931196
0.19,-0.1216954,0.0045834687,0.0141201075,-0.5408828,0.54116976,0.611587,0.49366835,0.7349871,-1.5959866,-0.065239266,-0.45726252,1.0968893
0.19999999,-0.1329598,0.0067906436,0.015141645,-0.53245986,0.5559625,0.6062772,0.5009688,0.77149457,-1.5959866,-0.065239266,-0.45726252,1.1005224
