Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt,quaternion_norm
0.0,0.0,0.0,0.0,-0.59539336,-0.037378676,0.7945325,0.042471323,0.0,-1.7789454,-0.038756855,0.066998206,0.99447274
0.01,-0.0048347926,-0.0022808611,0.018940791,-0.34950125,-0.023598358,0.46318114,0.023619633,-0.017481614,-1.7789454,-0.038756855,0.066998206,0.58120793
0.02,-0.004041559,0.017728604,0.0054024523,-0.4981984,-0.06444477,0.5902837,0.035650652,0.0020206594,-1.7789454,-0.038756855,0.066998206,0.77592564
0.03,-0.010233357,0.012305226,0.008018342,-0.5760862,-0.09727193,0.6544593,0.017407794,0.035017256,-1.7789454,-0.038756855,0.066998206,0.87747204
0.04,-0.019521322,0.0053683296,0.016767569,-0.61251336,-0.116213374,0.6925025,0.00096856384,0.08191701,-1.7789454,-0.038756855,0.066998206,0.93179333
0.049999997,-0.031093262,0.0020537246,0.028225366,-0.6278602,-0.12563287,0.7179258,-0.008547198,0.13788095,-1.7789454,-0.038756855,0.066998206,0.96202004
0.06,-0.044922777,0.0011566207,0.04070863,-0.63224566,-0.12988822,0.7366302,-0.012845103,0.19838627,-1.7789454,-0.038756855,0.066998206,0.9794869
0.07,-0.060405046,0.0010773242,0.053357325,-0.6302761,-0.1314808,0.7517702,-0.014025461,0.26047748,-1.7789454,-0.038756855,0.066998206,0.98989403
0.08,-0.076650135,0.0010336321,0.06592145,-0.62423563,-0.131742,0.76508826,-0.013513353,0.3223815,-1.7789454,-0.038756855,0.066998206,0.99627745
0.089999996,-0.092923835,0.00081383437,0.07842582,-0.6154411,-0.13141243,0.7774835,-0.012160387,0.38302457,-1.7789454,-0.038756855,0.066998206,1.0003327
0.099999994,-0.10878066,0.00043911487,0.09094504,-0.60475636,-0.1309114,0.78936493,-0.010450583,0.441738,-1.7789454,-0.038756855,0.066998206,1.0030324
0.11,-0.12401051,-1.5489757e-05,0.10351567,-0.59279627,-0.1304678,0.8008794,-0.0086499415,0.49810463,-1.7789454,-0.038756855,0.066998206,1.0049437
0.12,-0.13854656,-0.0004885122,0.116122745,-0.5800173,-0.13019793,0.8120494,-0.0068990407,0.55187696,-1.7789454,-0.038756855,0.066998206,1.0064012
0.13,-0.15239282,-0.00094444305,0.1287131,-0.5667641,-0.13015342,0.82284933,-0.00526863,0.6029267,-1.7789454,-0.038756855,0.066998206,1.0076063
0.14,-0.16558127,-0.0013691112,0.14121355,-0.55329776,-0.13035025,0.833243,-0.0037905541,0.65120983,-1.7789454,-0.038756855,0.066998206,1.0086813
0.14999999,-0.17814979,-0.0017608479,0.15354621,-0.5398153,-0.13078515,0.84320027,-0.002475035,0.6967412,-1.7789454,-0.038756855,0.066998206,1.009702
0.16,-0.19013396,-0.002124332,0.16563793,-0.5264645,-0.13144453,0.85270137,-0.0013202247,0.7395767,-1.7789454,-0.038756855,0.066998206,1.0107145
0.17,-0.20156457,-0.0024660453,0.17742579,-0.513355,-0.13230927,0.861738,-0.0003176299,0.77979875,-1.7789454,-0.038756855,0.066998206,1.0117469
0.17999999,-0.21246764,-0.0027924553,0.18885905,-0.5005667,-0.1333581,0.8703107,0.00054523675,0.81750834,-1.7789454,-0.038756855,0.066998206,1.012814
0.19,-0.22286594,-0.0031091645,0.19989914,-0.48815668,-0.13456845,0.87842715,0.0012826356,0.85281676,-1.7789454,-0.038756855,0.066998206,1.0139239
0.19999999,-0.23278022,-0.0034208372,0.21051893,-0.47616428,-0.13591787,0.8861,0.0019096616,0.8858422,-1.7789454,-0.038756855,0.066998206,1.0150778
0.21,-0.24222982,-0.003730692,0.22070113,-0.4646145,-0.13738468,0.8933462,0.0024417075,0.9167053,-1.7789454,-0.038756855,0.066998206,1.0162748
0.22,-0.25123352,-0.00404156,0.23043685,-0.45352185,-0.13894822,0.9001844,0.0028935107,0.94552755,-1.7789454,-0.038756855,0.066998206,1.0175111
0.22999999,-0.25981024,-0.0043553784,0.23972401,-0.4428922,-0.1405892,0.90663564,0.003278974,0.9724285,-1.7789454,-0.038756855,0.066998206,1.0187825
0.24,-0.267979,-0.004673369,0.24856609,-0.4327249,-0.14228989,0.9127216,0.0036111954,0.9975256,-1.7789454,-0.038756855,0.066998206,1.0200838
0.25,-0.27575842,-0.0049965754,0.25697106,-0.42301393,-0.14403398,0.9184648,0.0039021107,1.0209327,-1.7789454,-0.038756855,0.066998206,1.0214105
