Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt,quaternion_norm
0.0,0.0,0.0,0.0,-0.59539336,-0.037378676,0.7945325,0.042471323,0.0,-1.7789454,-0.038756855,0.066998206,0.99447274
0.01,-0.011562351,0.0015933692,0.0041234847,-0.68745404,-0.041912794,0.74951833,0.027996864,0.026711766,-1.7789454,-0.038756855,0.066998206,1.0182884
0.02,-0.010174564,0.0033330321,0.01349972,-0.67614144,-0.051008895,0.7738475,0.026369985,0.060595874,-1.7789454,-0.038756855,0.066998206,1.0292252
0.03,-0.01452107,0.0027037626,0.018466327,-0.6716766,-0.05564098,0.7672643,0.026125245,0.051066555,-1.7789454,-0.038756855,0.066998206,1.0215784
0.04,-0.018888287,0.00235759,0.027207177,-0.66200656,-0.06585699,0.77456176,0.024635267,0.07203688,-1.7789454,-0.038756855,0.066998206,1.0213436
0.049999997,-0.025920354,0.0020270832,0.0364259,-0.6498137,-0.07503371,0.7754008,0.023473129,0.082691714,-1.7789454,-0.038756855,0.066998206,1.014734
0.06,-0.033702932,0.0016615075,0.045856535,-0.6383264,-0.083943665,0.77694553,0.022288777,0.09420583,-1.7789454,-0.038756855,0.066998206,1.009281
0.07,-0.042381465,0.0010724497,0.055858105,-0.6269353,-0.092937484,0.7789809,0.021217212,0.117533624,-1.7789454,-0.038756855,0.066998206,1.0044633
0.08,-0.0520778,0.00027590815,0.066597454,-0.61535496,-0.10228071,0.7821123,0.02016193,0.16076423,-1.7789454,-0.038756855,0.066998206,1.0006144
0.089999996,-0.062889114,-0.00069497887,0.07819228,-0.6033284,-0.11221041,0.7864968,0.018994853,0.22917517,-1.7789454,-0.038756855,0.066998206,0.9977647
0.099999994,-0.07487089,-0.0018332991,0.09077303,-0.5907415,-0.12289101,0.79197973,0.01759506,0.325108,-1.7789454,-0.038756855,0.066998206,0.9958008
0.11,-0.088097356,-0.0031461585,0.10453534,-0.57754713,-0.13438602,0.7981662,0.01590208,0.4474428,-1.7789454,-0.038756855,0.066998206,0.9944559
0.12,-0.10272036,-0.0045902934,0.11974472,-0.5636529,-0.14658885,0.804466,0.0139708975,0.58986515,-1.7789454,-0.038756855,0.066998206,0.99325407
0.13,-0.11888638,-0.0060333535,0.13663276,-0.54884857,-0.15921962,0.8104176,0.011968941,0.73860496,-1.7789454,-0.038756855,0.066998206,0.9917185
0.14,-0.13641067,-0.0073625296,0.15513916,-0.53288466,-0.17200659,0.8163267,0.01005263,0.872681,-1.7789454,-0.038756855,0.066998206,0.989971
0.14999999,-0.1545422,-0.008654505,0.17469826,-0.5157383,-0.18485546,0.82317597,0.008248025,0.9711473,-1.7789454,-0.038756855,0.066998206,0.9888601
0.16,-0.17232893,-0.010123212,0.19438349,-0.49787024,-0.19768657,0.83121747,0.0065344395,1.0248921,-1.7789454,-0.038756855,0.066998206,0.98889834
0.17,-0.18917222,-0.011915114,0.21333228,-0.4801142,-0.21028645,0.8395066,0.0049415613,1.0409133,-1.7789454,-0.038756855,0.066998206,0.98971
0.17999999,-0.20493379,-0.014021192,0.23111078,-0.4631665,-0.22245677,0.84707224,0.0034864033,1.0348656,-1.7789454,-0.038756855,0.066998206,0.990734
0.19,-0.21972728,-0.016329546,0.24774382,-0.4472594,-0.23414125,0.8536071,0.0021237852,1.0212435,-1.7789454,-0.038756855,0.066998206,0.9917221
0.19999999,-0.23370165,-0.018714998,0.26347136,-0.43229616,-0.24538897,0.85924155,0.0007826844,1.0087141,-1.7789454,-0.038756855,0.066998206,0.9926693
0.21,-0.24693337,-0.02109468,0.2785121,-0.41812748,-0.25627276,0.86418325,-0.0005887849,1.0003948,-1.7789454,-0.038756855,0.066998206,0.99363947
0.22,-0.25941727,-0.023436483,0.2929682,-0.40469578,-0.26684397,0.86856157,-0.0020100428,0.9960458,-1.7789454,-0.038756855,0.066998206,0.9946797
0.22999999,-0.27110133,-0.025741901,0.3068327,-0.39204115,-0.2771259,0.8724187,-0.003476604,0.9941267,-1.7789454,-0.038756855,0.066998206,0.995802
0.24,-0.28192472,-0.028025143,0.32003295,-0.38025263,-0.2871248,0.87574196,-0.0049733547,0.9930745,-1.7789454,-0.038756855,0.066998206,0.99698615
0.25,-0.29184172,-0.030299153,0.33247373,-0.36942065,-0.2968427,0.87849766,-0.006484865,0.9918551,-1.7789454,-0.038756855,0.066998206,0.9981921
0.26,-0.3008311,-0.032569405,0.34406793,-0.35960934,-0.3062858,0.8806531,-0.008000678,0.99002963,-1.7789454,-0.038756855,0.066998206,0.99937165
0.26999998,-0.3088955,-0.034833606,0.35475206,-0.3508483,-0.31546777,0.88218856,-0.009517043,0.98758394,-1.7789454,-0.038756855,0.066998206,1.0004808
0.28,-0.3160553,-0.037084103,0.36448953,-0.34313604,-0.32440937,0.883102,-0.011036067,0.98470724,-1.7789454,-0.038756855,0.066998206,1.0014863
0.29,-0.32234225,-0.03931092,0.37326637,-0.33644968,-0.3331359,0.8834056,-0.0125641255,0.98162377,-1.7789454,-0.038756855,0.066998206,1.0023679
0.29999998,-0.32779455,-0.04150423,0.3810854,-0.3307536,-0.34167507,0.8831221,-0.014110069,0.9785059,-1.7789454,-0.038756855,0.066998206,1.0031168
0.31,-0.33245367,-0.043655418,0.38796043,-0.32600617,-0.350055,0.88227916,-0.01568418,0.9754531,-1.7789454,-0.038756855,0.066998206,1.0037336
0.32,-0.33636302,-0.045757428,0.39391264,-0.3221632,-0.35830343,0.8809078,-0.017297424,0.9725061,-1.7789454,-0.038756855,0.066998206,1.0042251
0.32999998,-0.33956727,-0.04780482,0.39896867,-0.31917942,-0.36644724,0.8790398,-0.018961053,0.9696711,-1.7789454,-0.038756855,0.066998206,1.0046042
0.34,-0.34211224,-0.0497933,0.40315926,-0.3170082,-0.3745127,0.87670785,-0.020686597,0.96693945,-1.7789454,-0.038756855,0.066998206,1.0048873
0.35,-0.3440444,-0.051719524,0.40651911,-0.31560203,-0.38252527,0.87394434,-0.022485754,0.9643006,-1.7789454,-0.038756855,0.066998206,1.0050943
0.35999998,-0.34541032,-0.053580925,0.40908602,-0.3149124,-0.39050978,0.8707821,-0.024370313,0.9617465,-1.7789454,-0.038756855,0.066998206,1.0052477
0.37,-0.34625667,-0.05537568,0.41090035,-0.31489003,-0.3984905,0.8672534,-0.026351921,0.95927256,-1.7789454,-0.038756855,0.066998206,1.0053722
0.38,-0.34662917,-0.057102468,0.41200447,-0.3154852,-0.40649083,0.86339015,-0.02844204,0.9568769,-1.7789454,-0.038756855,0.066998206,1.0054935
0.39,-0.34657264,-0.05876064,0.4124421,-0.3166485,-0.41453356,0.8592231,-0.03065176,0.9545588,-1.7789454,-0.038756855,0.066998206,1.0056382
0.39999998,-0.3461303,-0.06035006,0.4122574,-0.31833103,-0.4226404,0.8547819,-0.032991655,0.95231843,-1.7789454,-0.038756855,0.066998206,1.0058331
0.41,-0.34534374,-0.061871033,0.41149515,-0.3204847,-0.43083215,0.85009474,-0.035471797,0.95015615,-1.7789454,-0.038756855,0.066998206,1.0061045
0.42,-0.34425247,-0.063324355,0.41019934,-0.32306278,-0.43912852,0.84518796,-0.038101465,0.9480723,-1.7789454,-0.038756855,0.066998206,1.006478
