Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt,quaternion_norm
0.0,-0.03146079182624817,-0.016946082934737206,0.028301499783992767,-0.20843009650707245,0.6857295036315918,0.21932804584503174,0.650897204875946,0.02659604325890541,-2.5049639,-0.03949555,-0.30162135,0.9926933163320364
0.01,-0.04075515270233154,-0.01720084808766842,0.03470844775438309,-0.21582260727882385,0.6673104166984558,0.21126927435398102,0.6704345941543579,0.019463617354631424,-2.5049639,-0.03949555,-0.30162135,0.9929752471093489
0.02,-0.04558391124010086,-0.01465519331395626,0.03772011771798134,-0.21860329806804657,0.6630682945251465,0.20976325869560242,0.6745390295982361,0.004780802875757217,-2.5049639,-0.03949555,-0.30162135,0.993202140694754
0.03,-0.0506388396024704,-0.01286119781434536,0.04117778316140175,-0.22066175937652588,0.6638246178627014,0.21041014790534973,0.6735695600509644,-0.008953254669904709,-2.5049639,-0.03949555,-0.30162135,0.9936413426888528
0.04,-0.05672337859869003,-0.01240549050271511,0.045183755457401276,-0.22302205860614777,0.6663171648979187,0.21149669587612152,0.6710439324378967,-0.01801322028040886,-2.5049639,-0.03949555,-0.30162135,0.9943581922480236
0.05,-0.06406205147504807,-0.012965178117156029,0.04893207550048828,-0.22505833208560944,0.6695437431335449,0.21258923411369324,0.668108344078064,-0.021673675626516342,-2.5049639,-0.03949555,-0.30162135,0.9952401814126147
0.06,-0.07245899736881256,-0.013896113261580467,0.05208871513605118,-0.22629596292972565,0.6730373501777649,0.21359620988368988,0.6651397943496704,-0.020308401435613632,-2.5049639,-0.03949555,-0.30162135,0.9961041233108104
0.07,-0.08165300637483597,-0.01457924209535122,0.05462495610117912,-0.2264811098575592,0.6765366792678833,0.21454782783985138,0.6622421145439148,-0.014675658196210861,-2.5049639,-0.03949555,-0.30162135,0.9967903291181756
0.08,-0.09150104224681854,-0.014659350737929344,0.056462399661540985,-0.2254968136548996,0.6799402832984924,0.21531739830970764,0.6596242785453796,-0.005073528736829758,-2.5049639,-0.03949555,-0.30162135,0.9973130765621799
0.09,-0.10187932848930359,-0.013850545510649681,0.05760311707854271,-0.22324858605861664,0.6831868290901184,0.21585217118263245,0.6574352383613586,0.00811811164021492,-2.5049639,-0.03949555,-0.30162135,0.9976960594604427
0.1,-0.1126752495765686,-0.01191120408475399,0.05814351886510849,-0.21970145404338837,0.6862388253211975,0.21617867052555084,0.6557188034057617,0.024390075355768204,-2.5049639,-0.03949555,-0.30162135,0.9979442975522606
